COUNTRY,FIRST_OFFICIAL
Central African Republic,French
Switzerland,German
Ivory Coast,French
Cameroon,English
Albania,Albanian
Aland,Finnish
Andorra,Catalan
Austria,German
Belgium,Dutch
Benin,French
Burkina Faso,French
Jersey,English
Bulgaria,Bulgarian
Bosnia and Herzegovina,Bosnian
Belarus,Russian
Democratic Republic of the Congo,French
Republic of Congo,French
Cape Verde,Portuguese
Czech Republic,Czech
Germany,German
Denmark,Danish
Algeria,Arabic
Egypt,Arabic
Spain,Spanish
Estonia,Estonian
Finland,Finnish
Faroe Islands,Faroese
Gabon,French
United Kingdom of Great Britain and Northern Ireland,English
Guernsey,English
Ghana,English
Gibraltar,English
Guinea,French
Gambia,English
Guinea Bissau,Portuguese
Equatorial Guinea,Spanish
Greece,Greek
Greenland,Greenlandic
Croatia,Croatian
Hungary,Hungarian
Isle of Man,English
Ireland,English
Iceland,Icelandic
Italy,Italian
Macedonia,Macedonian
Mali,French
Malta,Maltese
Montenegro,Montenegrin
Kosovo,Albanian
Liberia,English
Libya,Arabic
Liechtenstein,German
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Latvia,Latvian
Morocco,Arabic
Monaco,French
Romania,Romanian
Western Sahara,Arabic
Sudan,Arabic
South Sudan,English
Senegal,French
Mauritania,Arabic
Portugal,Portuguese
Niger,French
Nigeria,English
Norway,Norwegian
Poland,Polish
Sierra Leone,English
San Marino,Italian
Republic of Serbia,Serbian
Vatican,Italian
Sao Tome and Principe,Portuguese
Slovakia,Slovak
Slovenia,Slovenian
Sweden,Swedish
Chad,French
Togo,French
Tunisia,Arabic
Ukraine,Ukrainian
Brazil,Portuguese
Turkey,Turkish
Japan,Japanese
Indonesia,Indonesian
Azerbajan,Azerbaijani
United States of America,English
Canada,English
China,Chinese
India,Hindi
Georgia,Georgian
Korea (Democratic People's Republic of),Korean
Korea (Republic of),Korean
Bengal,Bengali
Thailand,Thai
Mongolia,Mongolian
Armenia,Armenian
"Tanzania, United Republic of",Swahili
Uganda,English
Sri Lanka,Tamil
Singapore,Tamil
Pakistan,Urdu
